i hate u, i love u (feat. olivia o'brien), gnash,43
Without Me, Halsey,77
Trampoline (with ZAYN), SHAED,67
Let Me Down Slowly, Alec Benjamin,85
The Box, Roddy Ricch,80
Falling, Trevor Daniel,6
Cradles, Sub Urban,11
We Will Rock You - Remastered 2011, Queen,78
Hate Me (with Juice WRLD), Ellie Goulding,73
Stressed Out, Twenty One Pilots,84
Ride, Twenty One Pilots,81
Circles, Post Malone,85
Sunflower - Spider-Man: Into the Spider-Verse, Post Malone,81
Happier, Marshmello,82
Wow., Post Malone,81
Bad Liar, Imagine Dragons,80
Heathens, Twenty One Pilots,81
Believer, Imagine Dragons,87
Better Now, Post Malone,81
Old Town Road, Lil Nas X,76
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy), Martin Garrix,73
Scared to Be Lonely, Martin Garrix,77
Used To Love (with Dean Lewis), Martin Garrix,63
High On Life (feat. Bonn), Martin Garrix,70
Ocean (feat. Khalid), Martin Garrix,68
No Sleep (feat. Bonn), Martin Garrix,62
Home (feat. Bonn), Martin Garrix,53
These Are The Times (feat. JRM), Martin Garrix,52
Mistaken (feat. Alex Aris), Martin Garrix,51
So Far Away (feat. Jamie Scott & Romy Dya), Martin Garrix,67
Counting Stars, OneRepublic,83
God's Plan, Drake,83
Darkside, Alan Walker,74
Thunder, Imagine Dragons,84
FRIENDS, Marshmello,78
Alone, Marshmello,71
Natural, Imagine Dragons,81
Whatever It Takes, Imagine Dragons,81
Demons, Imagine Dragons,83
Radioactive, Imagine Dragons,79
Closer, The Chainsmokers,84
Something Just Like This, The Chainsmokers,84
Don't Let Me Down, The Chainsmokers,79
Family, The Chainsmokers,60
Roses, The Chainsmokers,72
Push My Luck, The Chainsmokers,56
Sick Boy, The Chainsmokers,68
Everybody Hates Me, The Chainsmokers,58
All We Know, The Chainsmokers,70
Kanye, The Chainsmokers,54
Together, Marshmello,48
Silence, Marshmello,81
HUMBLE., Kendrick Lamar,83
DNA., Kendrick Lamar,79
All The Stars (with SZA), Kendrick Lamar,83
Pray For Me (with Kendrick Lamar), Kendrick Lamar,73
Rescue Me, OneRepublic,70
Glorious (feat. Skylar Grey), Macklemore,74
These Days (feat. Jess Glynne, Macklemore & Dan Caplen), Rudimental,72
Alone, Pt. II, Alan Walker,74
Faded, Alan Walker,79
On My Way, Alan Walker,74
Lily, Alan Walker,73
The Spectre, Alan Walker,72
Alone, Alan Walker,73
Memories, Maroon 5,31
Call Out My Name, The Weeknd,88
Goodbyes (feat. Young Thug), Post Malone,79
Congratulations, Post Malone,81
Treat You Better, Shawn Mendes,84
Black Warrior, Various Artists,39
Take It, Dom Dolla,62
Reminder, The Weeknd,75
Top Of The World, AK,49
Ignite, K-391,70
One Thing Right, Marshmello,72
Hold On (feat. Michel Zitron), Martin Garrix,53
Moving On, Marshmello,54
Somebody To Love, OneRepublic,55
Birds, Imagine Dragons,72
Stuck, Imagine Dragons,55
Real Life, Imagine Dragons,55
Machine, Imagine Dragons,65
Warriors, Imagine Dragons,52
Love, Imagine Dragons,56
Rise Up, Imagine Dragons,67
Sunrise, RUBIKA,36
Lost in the Moment, RUBIKA,36
Love Yourself, Justin Bieber,0
Shape of You, Ed Sheeran,85
Lucid Dreams, Juice WRLD,0
Attention, Charlie Puth,1
Se�orita, Shawn Mendes,80
Paris, The Chainsmokers,74
Drag Me Down, One Direction,79
There's Nothing Holdin' Me Back, Shawn Mendes,0
Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors), Lil Wayne,76
Psycho (feat. Ty Dolla $ign), Post Malone,77
7 Years, Lukas Graham,52
Animals, Maroon 5,60
We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth,81
Stitches, Shawn Mendes,80
Taki Taki (with Selena Gomez, Ozuna & Cardi B), DJ Snake,75
Hymn for the Weekend, Coldplay,84
Hall of Fame (feat. will.i.am), The Script,79
I Took A Pill In Ibiza - Seeb Remix, Mike Posner,77
Perfect, Ed Sheeran,87
Rockabye (feat. Sean Paul & Anne-Marie), Clean Bandit,74
I Don�t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Darker (Original Motion Picture Soundtrack)", ZAYN,0
Starboy, The Weeknd,0
Maps, Maroon 5,0
See You Again (feat. Charlie Puth), Wiz Khalifa,81
Sugar, Maroon 5,81
Stranger Things (feat. OneRepublic), Kygo,60
Earth, Lil Dicky,61
Unstoppable, The Score,72
Thrift Shop (feat. Wanz), Macklemore & Ryan Lewis,68
Can't Hold Us (feat. Ray Dalton), Macklemore & Ryan Lewis,62
Grateful, NEFFEX,68
Here With Me, Marshmello,74
The Nights, Avicii,85
Happy Now, Kygo,68
All Night, The Vamps,71
Post Malone (feat. RANI), Sam Feldt,63
Stronger, The Score,66
Legends Never Die, League of Legends,77
More Than You Know, Axwell /\ Ingrosso,79
Rise, Jonas Blue,70
Happy Now, Zedd,69
Without You (feat. Sandro Cavazza), Avicii,77
Love Me Less (feat. Quinn XCII), MAX,63
On & On, Cartoon,9
Lovin' Every Minute, AREA21,49
Stranger Things (feat. OneRepublic) - Alan Walker Remix, Kygo,62
Legends Never Die - (Remix), Various Artists,67
, Various Artists,0
I'm a Mess, Bebe Rexha,73
Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons,85
Astronaut In The Ocean, Masked Wolf,78
Nevada, Vicetone,70
Hope, The Chainsmokers,65
Where Have You Gone (Anywhere), Lucas & Steve,54
On And On, The Score,58
Heat Waves, Glass Animals,81
INDUSTRY BABY (feat. Jack Harlow), Lil Nas X,84
No Way, JRL,47
Stay Up, Sophie Francis,41
Crossfire, Robby East,44
Fire & Gold, Morgan Page,53
Just My Type (feat. Jordan Shaw), Buzz Low,31
Beach House, The Chainsmokers,55
Lonely Together - (feat. Rita Ora) Alan Walker Remix, Avicii,60
Wellerman - Sea Shanty, Nathan Evans,77
Stop, Drop, Roll, Can't Stop Won't Stop,50
Tick Tick Boom (feat. BygTwo3), Various Artists,62
Waiting For Love, Avicii,81
The Middle, Zedd,79
We Don't Care, Sigala,55
Sweet but Psycho, Ava Max,80
Let You Down, NF,80
I Like Me Better, Lauv,72
Beautiful Now, Zedd,69
rockstar (feat. 21 Savage), Post Malone,84
Tired, Alan Walker,63
Dreamer, Axwell /\ Ingrosso,63
Middle Of The Night, The Vamps,60
Complicated (feat. Kiiara), Dimitri Vegas & Like Mike,58
MIDDLE OF THE NIGHT, Elley Duh�,88
Bones, Imagine Dragons,88
Weak, AJR,66
World's Smallest Violin, AJR,77
Fireflies, Binky,44
Brighter Than Gold, Louis II,52
100 Bad Days, AJR,65
Chlorine, Twenty One Pilots,75
Legend, The Score,70
Bang!, AJR,72
Spirits, The Strumbellas,71
Brightside, Arrested Youth,55
Livin' for the Weekend, Fitz and The Tantrums,54
Ghost Town, Layto,61
Mood (feat. iann dior), 24kGoldn,82